HS Code,HS Description,Country Name,Financial_Year,INR_Cr,USD_Mn
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,IRAQ,2023-24,4296.0758099,521.075013
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,IRAQ,2024-25,8731.1013155,1044.800232
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,IRAQ,2025-26,5301.8128278,606.839171
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,IRAQ,2026-27,4249.7373394,463.322381
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,KUWAIT,2019-20,994.5145953,140.7697513041
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,KUWAIT,2020-21,732.7947652,99.9896434887
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,KUWAIT,2021-22,1190.4616798,161.1203997211
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,KUWAIT,2022-23,1643.0170343,209.8294901282
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,KUWAIT,2023-24,1810.6587011,218.955069
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,KUWAIT,2024-25,1534.7049137,183.724493
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,KUWAIT,2025-26,1353.0438871,155.484712
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,KUWAIT,2026-27,1693.5999417,182.484894
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,NIGERIA,2019-20,0.003074,0.0004316094
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,NIGERIA,2020-21,0.0,0.0
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,NIGERIA,2021-22,0.0005027,6.86114e-05
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,NIGERIA,2022-23,4.8053642,0.630247917
